,Crime Category,Crime Notes
0,Other Theft,suspect is a taxi driver . suspect has dropped suspect off but victim has been to pay fare . victim has gone inside address to get money to pay however taxi driver has driven off with victims still in taxi
1,Violent Crime,victim is taxi driver and phones police to state they have been assaulted by a male customer . female is to have punched the victim in the face and the male has then a of from a nearby and victim with this also . a has then come out and in an aggressive to which caller has driven away and contacted the police .
2,Other Theft,between the times stated taxi driver picks up his fare . the taxi driver drops him off at his destination . the tells him he will to the bank to get his payment . he returns to tell him the machine has taken his card . he makes to pay the taxi driver but he has not so and has now to . he has not returned any of the taxi phone calls . his is called and she at the address where the taxi picked him up .
3,Other Theft,"suspect fails to pay taxi fare at the time , leaves his of his licence with taxi driver he will pay in next few then pick up his property , after or so , taxi driver hands in and makes of make off , the fare was ."
4,Other Theft,"male is drunk , leaves club and down taxi . comp believes at some point in this journey that taxi driver has made him from his bank , ."
5,Other Theft,"person left his phone in a taxi , he later and contacted the taxi company , they said the taxi driver had the taxi and not found the phone ."
6,Other Theft,victim gets a taxi from leeds to on date stated . the next she realises she 's left her phone in the taxi but the company and so report this . 4 later she a call from a male stating he 's her phone from a taxi driver but and wants to her to get it or for her to give him money to get her phone back . victim refuses and calls police .
7,Other Theft,suspect is taxi driver who works for amber cars . victims phone dropped out of his pocket in the taxi . victim taxi company 5 minutes after and they that had been found . suspect then made off with victims phone
8,Other Theft,taxi driver picks up fare from in . male is driven to hill way . the fare was . male got out of vehicle and at taxi driver stating he was going to house to get the and never back . making off without making payment for fare .
9,Robbery,victim is taxi driver sat in vehicle on road side . suspects approach vehicle and in car . suspect 1 punches victim to head and shouts get out of the car . suspect 2 opens drivers side door and punches victim . victim with suspects and to break . suspects give and property from vehicle and make off unseen .
10,Other Theft,"between times stated taxi driver picks up two females believed to be and from one address , drops them off at another address and waits for them to return to be taken back to the first address . upon dropping them off at the first address they make off without making any attempt to pay and refusing to pay ."
11,Violent Crime,"at times stated suspect is passenger in taxi , he becomes verbally and makes racial to taxi driver before at him and then him to rear of shoulder causing no injury"
12,Other Theft,suspect has taken phone for payment of taxi . after payment of fare the taxi driver has not given phone back and driven off with phone . caller not to taxi company .
